n_nodes,repetition,pass,convergence_s,connections_observed,connections_expected,propagation_n_samples,propagation_latency_median_ms,propagation_latency_p95_ms,propagation_latency_p99_ms,apply_events_total,lifecycle_events_total,wall_time_s,fatal_error
8,20,True,0.00752536400250392,56,56,224,0.237589,0.57486505,0.8062619700000011,280,176,11.308982533002563,
8,21,True,0.009300862999225501,56,56,224,0.299758,0.6371747999999999,0.9390377200000009,280,176,11.251135464000981,
8,22,True,0.01336762400023872,56,56,224,0.25842350000000003,0.5805229,0.62579734,280,176,11.34525268300058,
8,23,True,0.009846488996117841,56,56,224,0.25367249999999997,0.52174585,0.6912688600000005,280,176,11.272730839002179,
8,24,True,0.013082641999062616,56,56,224,0.28834000000000004,0.6777133,0.8252013400000003,280,176,11.429485904998728,
8,25,True,0.01392665300227236,56,56,224,0.2676725,0.5923969,0.6907543400000002,280,176,11.335461283000768,
8,26,True,0.010422109000501223,56,56,224,0.27794399999999997,0.5624915,1.2790625000000004,280,176,11.370139593003842,
8,27,True,0.01190276000124868,56,56,224,0.273652,0.5744478,0.7654864300000005,280,176,11.302011653999216,
8,28,True,0.015015236000181176,56,56,224,0.28327650000000004,0.68054355,0.87851859,280,176,11.410779998004728,
8,29,True,0.01424700300412951,56,56,224,0.28521399999999997,0.6023389,0.7730147500000003,280,176,11.471079283997824,
16,0,True,0.028727156997774728,240,240,465,0.4338,1.0922129999999999,1.3650473600000004,645,736,16.405965809004556,
16,1,True,0.02389750099973753,240,240,480,0.5743860000000001,1.3558964999999998,2.273453819999999,645,736,16.449622081003326,
16,2,True,0.029139247999410145,240,240,480,0.4759675,1.0197582499999995,1.3230865699999999,660,736,16.427661910005554,
16,3,True,0.020223652994900476,240,240,480,0.4473825,0.9731589999999998,1.4383715699999997,660,736,16.29149083000084,
16,4,True,0.022725224000168964,240,240,480,0.4566535,1.0521238999999998,1.6697658499999974,675,736,16.550868386999355,
16,5,True,0.017662749996816274,240,240,480,0.45617450000000004,1.1913054499999987,1.51651425,660,736,16.39975202799542,
16,6,True,0.02551907300221501,240,240,480,0.438695,1.060034349999999,1.5066784299999991,675,736,16.382252146999235,
16,7,True,0.01696571899810806,240,240,480,0.3965265,1.02681955,1.3068657499999998,600,736,16.39414172599936,
16,8,True,0.024266066997370217,240,240,465,0.412256,1.0364155999999998,1.5590983600000012,645,736,16.428861163003603,
16,9,True,0.026329373999033123,240,240,480,0.46396499999999996,1.0454406499999997,1.331882849999998,705,736,16.51158809199842,
16,10,True,0.02624956699582981,240,240,480,0.4124225,0.9258834999999999,1.1662484299999996,645,736,16.395568138999806,
16,11,True,0.021194820998061914,240,240,465,0.39863,0.8959527999999998,1.2531480000000002,615,736,16.352590996997606,
16,12,True,0.01687788100389298,240,240,465,0.41538,0.9786285999999997,1.20338312,615,736,16.38147215799836,
16,13,True,0.023634122000657953,240,240,465,0.429588,1.0425205999999996,1.4091887600000002,630,736,16.53789131800295,
16,14,True,0.018521593003242742,240,240,465,0.38763,1.0032619999999997,1.20099248,615,736,16.261082457996963,
16,15,True,0.020455814999877475,240,240,480,0.46060900000000005,1.0855206999999996,1.3830495699999996,690,736,16.32810099299968,
16,16,True,0.02761284300504485,240,240,480,0.440942,1.0075499499999996,1.2735094599999994,644,736,16.50099446200329,
16,17,True,0.03030815099918982,240,240,480,0.40573349999999997,1.0734803999999991,1.4937954299999994,600,736,16.78775590699661,
16,18,True,0.05469679999805521,240,240,480,0.4465875,1.2367158999999985,1.7988482499999985,690,736,16.650169065003865,
16,19,True,0.0172958750044927,240,240,465,0.385129,0.8973837999999994,1.2885407200000032,555,736,16.26310377199843,
16,20,True,0.015179725000052713,240,240,480,0.4644625,1.1550627499999995,1.6227181399999986,630,736,16.35569744100212,
16,21,True,0.03256162399338791,240,240,480,0.510567,1.229565149999999,2.59362618,705,736,16.7522984909956,
16,22,True,0.02895099900342757,240,240,465,0.44317,1.0028589999999997,1.2992748800000002,690,736,16.638746081996942,
16,23,True,0.022012806999555323,240,240,480,0.5039005,1.2440311499999999,1.6738939999999989,690,736,16.499204193998594,
16,24,True,0.02057787199737504,240,240,480,0.4523785,1.1453055,1.6087605299999983,615,736,16.313820827002928,
16,25,True,0.02269754900044063,240,240,480,0.515504,1.1902762999999998,1.6073439999999999,660,736,16.45068914800504,
16,26,True,0.01652720499987481,240,240,480,0.43860699999999997,1.0423924499999988,1.7367947799999965,675,736,16.39224661800108,
16,27,True,0.020755981000547763,240,240,480,0.419357,1.0237736999999998,1.2393793899999999,630,736,16.33686445299827,
16,28,True,0.03591757800313644,240,240,480,0.4605245,1.1700853999999983,2.5215117799999955,705,736,16.532103051999,
16,29,True,0.019699087002663873,240,240,465,0.432545,0.9815063999999993,1.4311708800000003,645,736,16.35342771100113,
32,0,True,0.08347126700391527,992,992,961,0.752463,2.170597,2.8450754,992,3008,26.527800972995465,
32,1,True,0.11421179399621906,992,992,961,1.005155,2.919419,3.5057916,992,3008,27.265547704999335,
32,2,True,0.10205858200060902,992,992,961,1.000473,2.922604,3.830398199999999,992,3008,26.84531901399896,
32,3,True,0.1074865780028631,992,992,961,0.79253,1.819927,2.4348867999999992,992,3008,26.694306091005274,
32,4,True,0.1089310379975359,992,992,961,0.758473,1.624406,1.9857871999999985,992,3008,26.722651855998265,
32,5,True,0.09639827199862339,992,992,961,0.730401,1.76666,2.2140019999999994,992,3008,26.542345377994934,
32,6,True,0.10316233200137503,992,992,961,0.794273,1.904639,2.4617368,992,3008,26.713475114003813,
32,7,True,0.08844003900594544,992,992,961,0.748382,2.080992,41.036535999999856,992,3008,26.96957213099813,
32,8,True,0.10186612699908437,992,992,961,0.888655,1.834973,2.2139387999999998,992,3008,26.90906105600152,
32,9,True,0.09792654299963033,992,992,961,0.764195,1.819602,2.4319919999999944,992,3008,26.97448320399417,
32,10,True,0.09524014799535507,992,992,961,0.824097,1.921294,2.3250647999999994,992,3008,26.73650160899706,
32,11,True,0.10381157400115626,992,992,961,0.748657,1.887288,2.6581021999999974,992,3008,26.73474743100087,
32,12,True,0.10604550899734022,992,992,961,0.81871,2.110758,2.6840032000000003,992,3008,26.782009360998927,
32,13,True,0.10583813299308531,992,992,961,0.73161,1.993401,2.5385199999999997,992,3008,26.84632265700202,
32,14,True,0.10700568899483187,992,992,961,0.687105,1.603171,2.3050146,992,3008,26.64405963700119,
32,15,True,0.10313539000344463,992,992,961,0.791565,1.909256,2.4892699999999985,992,3008,26.67023380500177,
32,16,True,0.10200626499863574,992,992,961,0.737124,1.700683,2.1333137999999963,992,3008,26.806519567995565,
